Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",58%,21.11,1005.0,8114.0,2860.0,8.08,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",60%,22.89,1089.0,8578.0,2933.0,7.88,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",62%,24.52,1166.0,8983.0,3003.0,7.71,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",64%,26.22,1246.0,9388.0,3070.0,7.53,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",66%,28.33,1345.0,9842.0,3145.0,7.32,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",68%,30.19,1432.0,10262.0,3222.0,7.16,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",70%,32.47,1540.0,10784.0,3289.0,7.0,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",76%,39.73,1878.0,12346.0,3488.0,6.57,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",82%,47.11,2222.0,13689.0,3679.0,6.16,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",88%,54.95,2583.0,15158.0,3855.0,5.87,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",94%,64.69,3030.0,16739.0,4037.0,5.52,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",100%,74.97,3498.0,18256.0,4209.0,5.22,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,40%,5.32,255.0,3050.0,1712.0,11.97,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,42%,5.9,282.0,3296.0,1769.0,11.67,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,44%,6.52,312.0,3508.0,1830.0,11.24,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,46%,7.1,340.0,3729.0,1893.0,10.97,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,48%,7.72,369.0,4020.0,1961.0,10.88,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,50%,8.46,405.0,4278.0,2024.0,10.57,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,52%,9.41,450.0,4616.0,2104.0,10.26,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,54%,10.33,494.0,4902.0,2176.0,9.93,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,56%,11.58,553.0,5361.0,2271.0,9.69,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,58%,12.68,606.0,5729.0,2345.0,9.46,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,60%,14.14,675.0,6189.0,2434.0,9.17,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,62%,15.38,734.0,6526.0,2506.0,8.9,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,64%,16.86,804.0,6969.0,2580.0,8.67,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,66%,18.14,864.0,7363.0,2650.0,8.52,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,68%,19.5,929.0,7719.0,2719.0,8.31,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,70%,21.1,1004.0,8132.0,2782.0,8.1,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,76%,26.16,1243.0,9395.0,2987.0,7.56,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,82%,31.59,1498.0,10618.0,3174.0,7.09,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,88%,37.16,1758.0,11833.0,3350.0,6.73,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,94%,43.34,2046.0,13009.0,3515.0,6.36,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,100%,50.42,2374.0,14371.0,3686.0,6.05,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,40%,8.14,390.0,4027.0,1964.0,10.33,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,42%,8.91,426.0,4322.0,2034.0,10.14,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,44%,9.81,469.0,4608.0,2103.0,9.82,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,46%,11.07,529.0,5009.0,2197.0,9.47,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,48%,12.85,614.0,5603.0,2318.0,9.13,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,50%,15.37,733.0,6395.0,2473.0,8.72,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,52%,16.8,801.0,6805.0,2553.0,8.5,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,54%,18.34,874.0,7239.0,2637.0,8.28,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,56%,20.06,955.0,7702.0,2715.0,8.06,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,58%,21.98,1046.0,8219.0,2796.0,7.86,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,60%,24.13,1148.0,8708.0,2886.0,7.59,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,62%,25.84,1228.0,9147.0,2951.0,7.45,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,64%,27.85,1323.0,9526.0,3029.0,7.2,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,66%,30.04,1425.0,10077.0,3102.0,7.07,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,68%,32.12,1523.0,10495.0,3174.0,6.89,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,70%,34.54,1636.0,11049.0,3239.0,6.75,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,76%,41.62,1966.0,12441.0,3442.0,6.33,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,82%,49.58,2335.0,13813.0,3623.0,5.91,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,88%,57.5,2701.0,15149.0,3798.0,5.61,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,94%,67.17,3143.0,16817.0,3979.0,5.35,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3016,100%,77.84,3628.0,18291.0,4142.0,5.04,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",40%,6.23,298.0,3569.0,1682.0,11.97,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",42%,6.84,327.0,3833.0,1744.0,11.72,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",44%,7.57,362.0,4074.0,1804.0,11.25,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",46%,8.08,387.0,4329.0,1848.0,11.19,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",48%,9.0,431.0,4655.0,1915.0,10.81,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",50%,9.89,473.0,4992.0,1982.0,10.56,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",52%,10.76,514.0,5325.0,2054.0,10.36,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",54%,11.96,571.0,5655.0,2121.0,9.9,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",56%,13.22,631.0,6143.0,2206.0,9.73,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",58%,14.61,697.0,6604.0,2289.0,9.47,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",60%,16.52,788.0,7188.0,2374.0,9.13,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",62%,17.83,850.0,7609.0,2438.0,8.95,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",64%,19.37,923.0,7997.0,2506.0,8.67,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",66%,20.83,992.0,8413.0,2577.0,8.48,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",68%,22.42,1067.0,8783.0,2646.0,8.23,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",70%,24.31,1156.0,9372.0,2707.0,8.11,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",76%,30.37,1441.0,10840.0,2905.0,7.52,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",82%,36.47,1726.0,12181.0,3078.0,7.06,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",88%,43.11,2036.0,13512.0,3237.0,6.64,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",94%,50.65,2385.0,14961.0,3393.0,6.27,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G32*11"" CF",100%,58.51,2748.0,16344.0,3545.0,5.95,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,40%,6.23,298.0,3505.0,1684.0,11.75,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,42%,6.71,321.0,3744.0,1739.0,11.66,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,44%,7.43,356.0,3992.0,1798.0,11.23,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,46%,8.2,392.0,4267.0,1856.0,10.88,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,48%,8.98,429.0,4565.0,1920.0,10.63,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,50%,9.75,466.0,4885.0,1981.0,10.48,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,52%,11.0,525.0,5248.0,2056.0,9.99,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,54%,11.93,570.0,5592.0,2125.0,9.82,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,56%,13.24,632.0,6039.0,2214.0,9.56,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,58%,14.65,699.0,6510.0,2295.0,9.31,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,60%,16.3,777.0,7018.0,2376.0,9.03,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,62%,17.7,843.0,7408.0,2446.0,8.78,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,64%,19.12,911.0,7803.0,2512.0,8.57,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,66%,20.56,979.0,8227.0,2583.0,8.41,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,68%,22.39,1065.0,8732.0,2646.0,8.2,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,70%,24.1,1146.0,9167.0,2713.0,8.0,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,76%,29.81,1414.0,10531.0,2913.0,7.45,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,82%,35.92,1700.0,11825.0,3087.0,6.95,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,88%,42.1,1988.0,13079.0,3256.0,6.58,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,94%,49.09,2312.0,14412.0,3418.0,6.23,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,T-MOTOR MF3218,100%,56.87,2671.0,15849.0,3567.0,5.93,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",40%,6.6,316.0,3371.0,2020.0,10.67,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",42%,7.32,351.0,3643.0,2097.0,10.39,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",44%,8.3,397.0,3974.0,2199.0,10.01,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",46%,9.72,465.0,4498.0,2332.0,9.68,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",48%,10.9,521.0,4931.0,2442.0,9.47,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",50%,12.0,573.0,5338.0,2529.0,9.31,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",52%,13.9,664.0,5850.0,2657.0,8.82,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",54%,15.25,728.0,6290.0,2755.0,8.64,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",56%,17.07,814.0,6778.0,2854.0,8.33,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",58%,18.52,883.0,7230.0,2936.0,8.19,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",60%,19.97,951.0,7608.0,3012.0,8.0,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",62%,21.38,1018.0,7960.0,3079.0,7.82,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",64%,22.86,1088.0,8330.0,3149.0,7.66,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",66%,24.55,1167.0,8737.0,3228.0,7.49,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",68%,26.37,1253.0,9214.0,3306.0,7.35,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",70%,28.43,1350.0,9632.0,3381.0,7.14,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",76%,33.93,1608.0,10865.0,3594.0,6.76,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",82%,40.64,1921.0,12235.0,3792.0,6.37,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",88%,48.19,2272.0,13656.0,3995.0,6.01,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",94%,56.17,2640.0,15086.0,4185.0,5.72,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G29*9.5"" CF",100%,65.18,3052.0,16504.0,4371.0,5.41,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,40%,1.58,38.0,465.0,3019.0,12.24,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,45%,2.15,52.0,586.0,3358.0,11.36,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,50%,2.81,67.0,717.0,3689.0,10.64,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,55%,3.56,85.0,858.0,4009.0,10.05,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,60%,4.47,107.0,1009.0,4326.0,9.43,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,65%,5.4,129.0,1157.0,4611.0,8.95,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,70%,6.4,153.0,1304.0,4883.0,8.52,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,75%,7.58,181.0,1464.0,5158.0,8.09,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,80%,8.88,212.0,1630.0,5431.0,7.69,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,90%,11.78,280.0,1968.0,5945.0,7.02,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P15,100%,14.74,350.0,2273.0,6370.0,6.49,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,40%,1.87,45.0,547.0,2900.0,12.17,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,45%,2.62,63.0,698.0,3242.0,11.15,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,50%,3.41,82.0,846.0,3561.0,10.36,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,55%,4.32,103.0,1004.0,3858.0,9.7,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,60%,5.39,129.0,1172.0,4146.0,9.09,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,65%,6.58,157.0,1347.0,4424.0,8.58,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,70%,7.74,185.0,1507.0,4658.0,8.16,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,75%,9.18,219.0,1685.0,4914.0,7.69,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,80%,10.73,256.0,1867.0,5155.0,7.3,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,90%,14.23,338.0,2231.0,5609.0,6.6,
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,24.0,P16,100%,17.66,418.0,2543.0,5964.0,6.08,
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",40%,2.64,126.0,1444.0,2930.0,11.45,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",42%,2.95,141.0,1563.0,3047.0,11.12,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",44%,3.38,161.0,1760.0,3226.0,10.93,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",46%,3.78,180.0,1875.0,3322.0,10.41,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",48%,4.17,199.0,2006.0,3426.0,10.08,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",50%,4.52,215.0,2125.0,3521.0,9.87,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",52%,4.88,233.0,2249.0,3621.0,9.67,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",54%,5.26,251.0,2355.0,3709.0,9.39,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",56%,5.68,270.0,2488.0,3812.0,9.2,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",58%,6.15,293.0,2624.0,3905.0,8.96,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",60%,6.6,314.0,2762.0,4001.0,8.78,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",62%,7.09,338.0,2892.0,4093.0,8.57,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",64%,7.61,362.0,3030.0,4192.0,8.36,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",66%,8.19,390.0,3160.0,4282.0,8.11,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",68%,8.45,402.0,3243.0,4336.0,8.07,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",70%,8.97,426.0,3388.0,4429.0,7.94,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",80%,11.99,569.0,4118.0,4853.0,7.23,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",90%,15.57,738.0,4889.0,5259.0,6.62,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",100%,20.67,978.0,5838.0,5716.0,5.97,78.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",40%,5.55,137.0,1496.0,2988.0,10.95,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",42%,6.53,160.0,1670.0,3152.0,10.41,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",44%,7.08,174.0,1763.0,3238.0,10.13,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",46%,7.64,188.0,1866.0,3331.0,9.95,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",48%,8.32,204.0,1986.0,3429.0,9.73,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",50%,9.1,223.0,2111.0,3525.0,9.47,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",52%,9.84,241.0,2226.0,3623.0,9.24,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",54%,10.61,260.0,2343.0,3712.0,9.02,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",56%,11.46,280.0,2468.0,3804.0,8.81,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",58%,12.27,300.0,2598.0,3892.0,8.67,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",60%,13.18,322.0,2723.0,3981.0,8.46,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",62%,14.11,344.0,2844.0,4070.0,8.27,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",64%,15.02,366.0,2966.0,4153.0,8.11,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",66%,15.76,380.0,3044.0,4202.0,8.01,80.0
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,48.0,"P21*6.3""",68%,16.62,400.0,3159.0,4276.0,7.9,80.0
