MOTOR,Company,Max Thrust,Recommended ESC,Recommended Propeller,LINK - Motor ,LINK - ESC,LINK - Propeller
EMAX Tinyhawk Freestyle 115mm F411 2S 1103 7000KV 2.5Inch Fpv Racing Drone BNF,emaxmodelstore,,,,https://emaxmodel.com/products/emax-tinyhawk-freestyle-115mm-f411-2s-1103-7000kv-2-5inch-fpv-racing-drone-bnf,,
★EMAX Nano 5.8G FPV Antenna- RHCP-LHCP 50mm UFL-SMA-MMCX-MMCX Angle for racing drone,emaxmodelstore,,,,https://emaxmodel.com/products/emax-nano-5-8g-fpv-antenna-rhcp-lhcp-50mm-ufl-sma-mmcx-mmcx-angle-for-racing-drone,,
★ Emax Freestyle FS2306 2306 1700KV 3-6S - 2400KV 3-4S Brushless Motor for Buzz Hawk RC Drone FPV Racing,emaxmodelstore,,,,https://emaxmodel.com/products/emax-freestyle-fs2306-2306-1700kv-3-6s-2400kv-3-4s-brushless-motor-for-buzz-hawk-rc-drone-fpv-racing,,
EMAX 0802 Brushless Motor For Indoor Racing Drone- Tinyhawk S Performance Part,emaxmodelstore,,,,https://emaxmodel.com/products/emax-0802-brushless-motor-for-indoor-racing-drone-tinyhawk-s-performance-part,,
Emax ECO Series 2207 3-6S 1700KV 1900KV 2400KV Brushless Motor for RC Drone FPV Racing,emaxmodelstore,,,,https://emaxmodel.com/products/emax-eco-series-2207-3-6s-1700kv-1900kv-2400kv-brushless-motor-for-rc-drone-fpv-racing,,
"★EMAX BUZZ - Complete hardware kit, inc vibration dampeners part G",emaxmodelstore,,,,https://emaxmodel.com/products/emax-buzz-complete-hardware-kit-inc-vibration-dampeners-part-g,,
4 in 1 Emax Hexagon Socket Screwdriver Set Allen Driver H1.5 H2.0 H2.5 H3.0mm Modeling Making Tools for RC Model FPV Building,emaxmodelstore,,,,https://emaxmodel.com/products/4-in-1-emax-hexagon-socket-screwdriver-set-allen-driver-h1-5-h2-0-h2-5-h3-0mm-modeling-making-tools-for-rc-model-fpv-building,,
EMAX Baseball Cap FPV Racing Drone Hat,emaxmodelstore,,,,https://emaxmodel.com/products/emax-baseball-cap-fpv-racing-drone-hat,,
Satomi EMAX logo stickers,emaxmodelstore,,,,https://emaxmodel.com/products/satomi-emax-logo-stickers,,
★EMAX XT2216 910KV-1150KV-1290KV Motor for Aircraft & Multicopter,emaxmodelstore,,,,https://emaxmodel.com/products/emax-xt2216-910kv-1150kv-1290kv-motor-for-aircraft-multicopter,,
